item_id;supplier;category_id;color;size;price;abcvd
1;ASC Partners;89423;LightBlue;4;34.75;
2;Junyo;71544;SaddleBrown;7;51.30;
3;WebFilings;64469;Red;5;76.18;
4;CityScan;16138;SeaGreen;6;50.65;
5;PolicyMap;99017;Olive;6;23.00;
6;AccuWeather;93251;LimeGreen;7;68.84;
7;Marlin & Associates;78865;MistyRose;8;41.57;
8;BillGuard;51382;LightSkyBlue;7;56.12;
9;Accenture;61560;SaddleBrown;8;45.66;
10;J.P. Morgan Chase;14005;AliceBlue;8;69.56;
11;KidAdmit, Inc.;15117;PeachPuff;6;61.14;
12;CGI;72390;Turquoise;6;24.53;
13;DemystData;71354;Beige;8;50.33;
14;Noveda Technologies;46831;Aqua;7;52.74;
15;McKinsey;10624;DeepPink;5;42.83;
16;StockSmart;93101;Aqua;8;53.82;
17;Funding Circle;12053;Red;5;57.55;
18;Funding Circle;51811;Turquoise;8;29.20;
19;MapQuest;28701;Cyan;6;72.33;
20;eInstitutional;34108;DarkViolet;5;76.97;
21;Fitch;6383;SeaShell;4;75.53;
22;Foursquare;21226;Wheat;7;78.87;
23;Enigma.io;86284;DarkGreen;8;61.11;
24;eInstitutional;87219;MidnightBlue;5;73.77;
25;Xcential;17448;Green;5;64.03;
26;Munetrix;77277;SkyBlue;6;49.22;
27;Child Care Desk;29829;PaleTurquoise;6;48.15;
28;iFactor Consulting;4198;WhiteSmoke;6;68.62;
29;MetLife;50373;Ivory;5;54.66;
30;Teradata;91466;Peru;8;26.99;
31;Brightscope;42692;MediumSpringGreen;8;62.48;
32;Smart Utility Systems;86229;White;5;55.29;
33;TransparaGov;72711;DarkMagenta;5;48.46;
34;CrowdANALYTIX;71498;MidnightBlue;5;35.09;
35;Yelp;24772;MediumPurple;7;71.40;
36;Allianz;58604;Darkorange;7;54.46;
37;Xatori;20819;Blue;7;56.49;
38;EarthObserver App;13782;LightYellow;7;70.83;
39;DataWeave;9227;FireBrick;8;71.90;
40;LoopNet;85636;MediumOrchid;6;58.72;
41;Seabourne;52588;DimGray;4;28.24;
42;Zoner;97554;SteelBlue;8;79.89;
43;Ecodesk;29723;Cornsilk;4;67.83;
44;Municode;87400;MediumSpringGreen;5;39.16;
45;iTriage;63863;SteelBlue;8;29.70;
46;Uber;13621;Gold;5;23.97;
47;DataLogix;22521;Black;7;73.55;
48;LoopNet;88816;Ivory;7;60.35;
49;North American Van Lines;62319;PowderBlue;8;31.76;
50;Experian;42832;LightSeaGreen;4;45.12;
51;The Schork Report;65673;LightGreen;7;73.28;
52;Zoner;80214;DeepPink;4;28.17;
53;Expert Health Data Programming, Inc.;53148;LavenderBlush;6;24.28;
54;eScholar LLC.;90658;Thistle;8;64.75;
55;Trulia;83226;ForestGreen;4;58.56;
56;Urban Mapping, Inc;36813;MidnightBlue;6;63.08;
57;Nationwide Mutual Insurance Company;79871;LightCyan;7;30.41;
58;College Abacus, an ECMC initiative;17885;OrangeRed;7;69.83;
59;Careset.com;3771;DimGray;5;54.35;
60;Allianz;22892;Chartreuse;4;23.83;
61;How's My Offer?;9888;MediumVioletRed;8;52.11;
62;IW Financial;88621;Teal;8;34.88;
63;Forrester Research;92974;YellowGreen;6;49.94;
64;Tendril;74855;LemonChiffon;8;20.12;
65;Cappex;9789;Red;5;42.35;
66;Xatori;78381;LightGreen;6;43.91;
67;Relationship Science;97255;PaleTurquoise;7;41.29;
68;StreetCred Software, Inc;77436;LightBlue;8;64.54;
69;Collective IP;14744;FloralWhite;7;27.87;
70;48 Factoring Inc.;16750;Pink;6;45.47;
71;OpenCounter;31812;Wheat;6;66.47;
72;Wolfram Research;24996;LawnGreen;7;37.01;
73;Xcential;24908;LightCyan;6;34.84;
74;TransUnion;94938;DarkOrchid;8;20.16;
75;ideas42;15426;LightSkyBlue;8;22.40;
76;Outline;38995;Beige;8;45.23;
77;Personal Democracy Media;89371;Magenta;7;39.16;
78;Investormill;54126;DarkOliveGreen;4;41.71;
79;AreaVibes Inc.;75645;DarkOrchid;7;52.37;
80;IVES Group Inc;73777;Chocolate;5;72.93;
81;Sophic Systems Alliance;6009;MediumTurquoise;5;25.13;
82;STILLWATER SUPERCOMPUTING INC;91089;DarkMagenta;7;75.23;
83;Rapid Cycle Solutions;67050;Coral;5;68.29;
84;CrowdANALYTIX;70008;LightSkyBlue;6;48.38;
85;Xignite;58635;Coral;5;23.16;
86;Accela;51153;Chocolate;4;46.96;
87;Lilly Open Innovation Drug Discovery;14259;Chartreuse;5;28.96;
88;Qado Energy, Inc.;80552;Navy;7;57.00;
89;Weather Channel;41765;Magenta;5;30.11;
90;USAA Group;82819;HoneyDew;8;29.24;
91;Panjiva;8093;Crimson;7;40.59;
92;Allied Van Lines;96223;Khaki;4;48.46;
93;Rivet Software;19601;Moccasin;4;35.58;
94;FarmLogs;90232;Orange;4;25.45;
95;Walk Score;4328;LightSlateGray;6;37.16;
96;McGraw Hill Financial;34249;Teal;7;42.72;
97;PatientsLikeMe;62462;DarkRed;6;59.88;
98;National Van Lines;95899;PaleGoldenRod;7;66.04;
99;SpeSo Health;81258;Fuchsia;8;38.70;
100;Morgan Stanley;81447;Darkorange;6;75.85;
101;Personalis;40505;LightSalmon;4;25.78;
102;BlackRock;37951;ForestGreen;7;74.82;
103;Chemical Abstracts Service;88058;SlateBlue;8;29.15;
104;RAND Corporation;80133;Navy;7;74.82;
105;Forrester Research;20831;DarkOrchid;5;74.10;
106;Rank and Filed;84887;GhostWhite;5;74.78;
107;Robinson + Yu;40196;Cyan;6;55.10;
108;Munetrix;20007;Purple;4;56.39;
109;Optensity;97931;PaleVioletRed;6;47.72;
110;ConnectEDU;76197;Gray;5;48.62;
111;Epsilon;68689;DarkSlateBlue;5;44.44;
112;Accenture;11999;DarkOliveGreen;8;49.10;
113;Allied Van Lines;28000;Crimson;8;55.75;
114;Inovalon;65925;LavenderBlush;5;34.42;
115;The Govtech Fund;46312;DarkMagenta;8;31.09;
116;Connotate;52242;ForestGreen;5;21.70;
117;Xignite;16145;IndianRed ;4;29.82;
118;HopStop;27229;Sienna;6;70.66;
119;Collective IP;12018;Azure;4;75.64;
120;State Farm Insurance;22324;DarkBlue;5;51.40;
121;Chemical Abstracts Service;72852;Gainsboro;4;68.83;
122;Russell Investments;26301;LimeGreen;5;32.39;
123;Intermap Technologies;19679;DarkGray;7;77.36;
124;Zillow;6701;ForestGreen;6;47.63;
125;PlanetEcosystems;6968;SeaGreen;5;27.41;
126;realtor.com;92624;Linen;4;56.97;
127;The DocGraph Journal;55274;HoneyDew;8;60.50;
128;Evidera;72383;DimGray;5;34.81;
129;Amida Technology Solutions;86674;LightBlue;5;41.27;
130;Vizzuality;65893;OliveDrab;7;76.22;
131;Brightscope;68349;Azure;7;63.16;
132;Code-N;11557;LightSalmon;7;56.12;
133;Xignite;8204;SaddleBrown;6;36.14;
134;Adaptive;35166;CadetBlue;8;34.91;
135;Municode;73703;MistyRose;7;53.90;
136;SolarList;26688;LightSlateGray;6;22.00;
137;Credit Karma;488;OliveDrab;5;22.02;
138;Kroll Bond Ratings Agency;66891;MediumSeaGreen;5;42.11;
139;Enervee Corporation;27594;Violet;4;20.52;
140;Energy Points, Inc.;93196;Indigo ;4;37.64;
141;T. Rowe Price;28509;LightGreen;6;25.89;
142;Rivet Software;2720;Linen;4;60.57;
143;Exversion;79070;Blue;5;25.56;
144;Personal, Inc.;4896;Tomato;6;38.96;
145;TrialTrove;281;PaleGoldenRod;8;52.11;
146;NerdWallet;41149;Red;4;27.09;
147;Owler;72990;Aqua;6;33.71;
148;MicroBilt Corporation;19750;LawnGreen;7;20.33;
149;Think Computer Corporation;86275;Linen;4;50.20;
150;Progressive Insurance Group;85416;PaleVioletRed;8;79.57;
151;Socrata;1590;Snow;6;39.41;
152;TrueCar;53819;MediumSpringGreen;6;76.63;
153;Rank and Filed;72373;LightCyan;5;45.25;
154;GoodGuide;4631;Olive;5;57.72;
155;Altova;43604;White;7;47.23;
156;AllState Insurance Group;95043;Bisque;4;77.51;
157;State Farm Insurance;51937;Bisque;5;72.44;
158;VisualDoD, LLC;96155;DarkSlateBlue;6;61.44;
159;The Advisory Board Company;97884;Violet;7;46.84;
160;Castle Biosciences;14039;Aquamarine;4;28.89;
161;WeMakeItSafer;40063;HoneyDew;7;43.93;
162;SlashDB;23226;MediumBlue;8;48.79;
163;Merrill Lynch;14213;FloralWhite;4;69.93;
164;Progressive Insurance Group;6577;PeachPuff;7;66.08;
165;PlanetEcosystems;35702;SteelBlue;5;63.21;
166;DemystData;96271;Yellow;4;48.49;
167;Urban Mapping, Inc;74543;RoyalBlue;4;23.28;
168;Politify;95909;DarkSeaGreen;4;57.12;
169;Accenture;15225;PeachPuff;6;64.65;
170;Fuzion Apps, Inc.;53316;LightSlateGray;5;20.34;
171;Aidin;29517;Crimson;8;64.30;
172;5PSolutions;79352;BlanchedAlmond;8;63.66;
173;SAS;12912;Gainsboro;4;56.33;
174;Bing;12682;Turquoise;6;45.82;
175;HealthMap;52263;Chocolate;8;40.01;
176;Spokeo;91855;Red;5;32.46;
177;PublicEngines;32364;DarkKhaki;7;70.42;
178;BillGuard;63797;Sienna;4;54.86;
179;iTriage;47512;Sienna;6;24.37;
180;GetRaised;35237;Gray;6;44.00;
181;Acxiom;72111;LimeGreen;6;55.30;
182;WattzOn;92485;MediumAquaMarine;6;50.77;
183;AreaVibes Inc.;38975;SpringGreen;7;67.07;
184;NonprofitMetrics;92847;MediumSpringGreen;6;52.48;
185;SAS;95761;LightSeaGreen;7;52.81;
186;United Mayflower;44386;SandyBrown;8;39.07;
187;Reed Elsevier;39658;Fuchsia;4;54.21;
188;Morningstar, Inc.;32080;Orange;7;41.20;
189;Innovest Systems;34818;RoyalBlue;8;25.29;
190;TransUnion;39550;Linen;8;66.80;
191;SnapSense;75827;PaleVioletRed;8;74.97;
192;Capital Cube;70277;GhostWhite;5;77.47;
193;Caspio;94398;Coral;5;29.69;
194;Zoner;17381;MediumOrchid;7;32.56;
195;Arpin Van Lines;9850;Gray;4;57.75;
196;ClearHealthCosts;31147;Chartreuse;4;20.92;
197;HelloWallet;89649;LightGray;7;67.83;
198;National Van Lines;91189;Thistle;4;76.90;
199;Cambridge Semantics;12250;SaddleBrown;8;42.07;
200;Geoscape;72816;Peru;4;55.82;
201;FlightAware;20349;MediumVioletRed;8;55.08;
202;Quid;63342;GhostWhite;7;46.70;
203;NERA Economic Consulting;66189;DeepSkyBlue;6;66.11;
204;SpotCrime;45436;Blue;5;24.79;
205;Lumesis, Inc.;55044;LimeGreen;5;52.36;
206;TuvaLabs;78993;Ivory;7;61.14;
207;PossibilityU;92509;LightSalmon;7;66.16;
208;Atlas Van Lines;75130;LightGreen;7;49.78;
209;Garmin;70218;GoldenRod;8;75.43;
210;3 Round Stones, Inc.;48101;Cyan;5;70.68;
211;Epsilon;71676;DeepSkyBlue;4;31.32;
212;Kaiser Permanante;5578;LightBlue;4;33.79;
213;Stormpulse;96867;Chartreuse;4;59.23;
214;Vimo;69463;LightSlateGray;6;68.17;
215;Urban Mapping, Inc;76823;Thistle;4;49.60;
216;Rand McNally;35818;DarkBlue;8;22.44;
217;iTriage;98068;LightPink;8;25.92;
218;Solar Census;83613;PaleGreen;4;48.54;
219;gRadiant Research LLC;27506;Ivory;6;44.20;
220;Marinexplore, Inc.;94681;RosyBrown;6;38.78;
221;RAND Corporation;12154;BurlyWood;8;61.11;
222;SAP;50287;Indigo ;7;28.00;
223;NextBus;3258;LightGreen;4;42.69;
224;HopStop;89937;Red;4;49.09;
225;Kyruus;61604;Aqua;5;77.10;
226;BetterLesson;21424;SandyBrown;8;29.53;
227;Remi;78287;Sienna;4;32.19;
228;StreamLink Software;41010;Red;7;51.39;
229;iRecycle;30358;AntiqueWhite;6;29.69;
230;LoseIt.com;89943;MistyRose;6;22.52;
231;CARFAX;55000;Aquamarine;4;47.01;
232;Cappex;60430;Cyan;4;21.83;
233;Kyruus;69629;DarkOliveGreen;8;26.66;
234;Trulia;76100;LightGoldenRodYellow;8;73.97;
235;People Power;20126;MediumSeaGreen;4;74.32;
236;DataLogix;88146;DarkBlue;7;40.91;
237;Appallicious;45791;LightSalmon;7;27.83;
238;Smartronix;72286;RosyBrown;4;47.88;
239;SmartAsset;46727;LightCyan;8;29.22;
240;MetLife;54566;IndianRed ;4;73.81;
241;CoreLogic;97976;DarkOrchid;8;71.11;
242;People Power;79584;MediumSlateBlue;8;25.56;
243;FlightStats;25944;Purple;8;63.48;
244;CB Insights;41190;DarkSlateBlue;7;23.98;
245;Yelp;52954;BurlyWood;7;74.35;
246;CAN Capital;46276;LightSeaGreen;7;41.23;
247;Personal, Inc.;62721;LightSlateGray;4;50.66;
248;Govzilla, Inc.;95510;BlanchedAlmond;4;79.51;
249;CoreLogic;28089;LightGreen;5;35.03;
250;Vital Axiom | Niinja;28228;Lavender;8;52.19;
251;TransUnion;28627;Linen;4;75.42;
252;Housefax;30415;HotPink;5;35.65;
253;Liquid Robotics;16194;DodgerBlue;7;25.94;
254;FarmLogs;61557;Gray;5;29.76;
255;GreatSchools;75858;DarkSlateBlue;8;24.55;
256;Kroll Bond Ratings Agency;14810;YellowGreen;7;22.26;
257;SigFig;77343;LemonChiffon;4;34.38;
258;Honest Buildings;81149;LawnGreen;5;31.45;
259;The Govtech Fund;99036;Tan;6;44.17;
260;Whitby Group;53677;MidnightBlue;5;73.65;
261;PYA Analytics;12224;HoneyDew;5;50.50;
262;Smart Utility Systems;31458;Fuchsia;8;36.93;
263;Maponics;16291;AliceBlue;6;37.60;
264;Votizen;42813;Red;7;20.27;
265;Navico;68781;Red;5;64.64;
266;SAP;60491;Blue;4;45.21;
267;Citigroup;36654;Bisque;5;23.83;
268;WebFilings;14834;Peru;5;42.85;
269;Vimo;53472;PaleTurquoise;8;20.89;
270;Kroll Bond Ratings Agency;53215;Cornsilk;5;41.88;
271;ideas42;58292;Orange;8;41.54;
272;FlightAware;43962;Orange;8;31.37;
273;Oliver Wyman;65659;SpringGreen;6;32.55;
274;T. Rowe Price;34001;BlueViolet;6;57.49;
275;StockSmart;10344;SlateGray;7;35.26;
276;Consumer Reports;5537;HoneyDew;5;60.23;
277;Geolytics;97449;Olive;5;22.67;
278;MicroBilt Corporation;49862;Tan;6;71.66;
279;ClearHealthCosts;27012;DarkSeaGreen;5;62.55;
280;REI Systems;35715;SpringGreen;8;34.22;
281;Nautilytics;4752;SandyBrown;4;67.57;
282;TrustedID;13508;Cyan;4;41.60;
