Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Bourbon County Stout 1,Hop Rod Rye 1,body,vendor,type,"hip,hop,hura",true,Color,DarkGray,Size,s,Length,103555,987bdcf9-bd1c-4e17-a85a-556d95a8e673,837650,shopify,923692,continue,manual,23205.90,82538.99,true,false,527eb626-e998-44aa-95e2-50f16c41d7fe,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,50716.60
Celebrator Doppelbock 2,Weihenstephaner Hefeweissbier 2,body,vendor,type,"hip,hop,hura",true,Color,Sienna,Size,m,Length,995750,4bc3fa62-30a6-45da-b733-88a291723acb,175826,shopify,537155,continue,manual,48365.29,37126.86,true,false,ec6a4612-b452-41e0-af15-969e420aa337,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,35296.75
Old Rasputin Russian Imperial Stout 3,Oaked Arrogant Bastard Ale 3,body,vendor,type,"hip,hop,hura",false,Color,Wheat,Size,xxl,Length,237756,fe203f45-ffe6-452e-a0b3-71c3af467abc,372307,shopify,247363,continue,manual,44871.02,10582.15,true,true,ebeaa7cc-326b-416c-9f70-57b57900451e,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,39898.82
Storm King Stout 4,Yeti Imperial Stout 4,body,vendor,type,"hip,hop,hura",true,Color,BurlyWood,Size,m,Length,670043,19d26c3e-8d1e-48d2-8581-09b44f67f4e1,303607,shopify,22380,continue,manual,7166.96,43946.15,false,false,d5caf3a7-44c8-485d-b637-03b270841e80,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,56527.52
Duvel 5,Oak Aged Yeti Imperial Stout 5,body,vendor,type,"hip,hop,hura",false,Color,SteelBlue,Size,xxl,Length,500367,e623a68a-cc38-4e0c-9e63-9678bff74c5e,229291,shopify,302100,continue,manual,17248.89,2714.88,true,true,56109647-3f58-46bc-94a8-ee290490c21f,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,74943.30
Trappistes Rochefort 10 6,Yeti Imperial Stout 6,body,vendor,type,"hip,hop,hura",false,Color,MediumVioletRed,Size,m,Length,635220,4a45f959-f1af-4f74-ad77-bdd8129eaa8d,418987,shopify,817892,continue,manual,85871.56,31811.07,true,true,2b282259-9e37-4b30-8c19-23a0286b65c2,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,85772.17
St. Bernardus Abt 12 7,Trappistes Rochefort 10 7,body,vendor,type,"hip,hop,hura",false,Color,SeaGreen,Size,s,Length,37387,06a58e71-8361-4115-a747-64dba6b9b441,267524,shopify,420938,continue,manual,95.20,33125.81,true,false,1de8dfd2-acac-403c-b1e7-3508406b621a,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,36950.71
Stone IPA 8,Maudite 8,body,vendor,type,"hip,hop,hura",false,Color,Snow,Size,m,Length,507547,acdb2a69-59f5-4b42-9106-98ecf457d966,8037,shopify,78575,continue,manual,79805.96,28678.92,true,false,0633876b-4d47-461c-9ba4-72b2d68a7d34,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,74699.80
Double Bastard Ale 9,Double Bastard Ale 9,body,vendor,type,"hip,hop,hura",false,Color,Aquamarine,Size,xxl,Length,986409,f156faeb-67d4-4afa-9157-438d7742fcfe,460052,shopify,94628,continue,manual,32013.43,32251.77,false,true,7f363a29-6270-44ff-bae8-6f944cb97a62,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,20210.15
90 Minute IPA 10,Edmund Fitzgerald Porter 10,body,vendor,type,"hip,hop,hura",false,Color,FireBrick,Size,xxl,Length,47175,db195fe6-2c9d-4b8f-9b21-205f2ec5c6bf,715729,shopify,103632,continue,manual,12275.77,64498.77,true,false,97ee162e-96c2-46c4-8bb3-16e196a29592,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,,alt,,seo title,seo description,,,,,,,,,,,,,,https://cdn.shopify.com/assets2/homepage/hero/online-small-cc530cef35510de3dd5deffeb202e3006553259c7399f259890a9dd20f4edf84.jpg,kg,,88606.34
