item_id;supplier;category_id;color;size;price;stock_level;active;date_added
1;Overture Technologies;75126;MediumVioletRed;8;54.24;100;true;1733045629
2;Panjiva;94304;DimGrey;6;29.60;100;true;1733118254
3;J.P. Morgan Chase;22812;GoldenRod;6;52.34;100;true;1733132659
4;Quandl;51818;LawnGreen;6;40.68;100;true;1733092687
5;Asset4;65806;RoyalBlue;4;47.64;100;true;1733035813
6;Expert Health Data Programming, Inc.;15838;DarkBlue;4;27.74;100;true;1733042616
7;Amazon Web Services;9214;DarkSlateBlue;7;26.77;100;true;1732987087
8;Zillow;69856;DimGray;6;53.92;100;true;1733064179
9;FlightView;75458;LightGoldenRodYellow;8;62.29;100;true;1733134871
10;Lilly Open Innovation Drug Discovery;20470;MediumSlateBlue;7;37.98;100;true;1732997957
11;SolarList;87395;GoldenRod;4;74.92;100;true;1733073320
12;McKinsey;76490;RosyBrown;7;62.15;100;true;1732975428
13;Funding Circle;38241;Peru;8;31.10;100;true;1733022547
14;Bridgewater;49182;Chartreuse;6;36.79;100;true;1733140433
15;TagniFi;93624;DarkOrchid;4;77.74;100;true;1733119804
16;CGI;58482;PaleTurquoise;6;71.47;100;true;1733041578
17;Porch;37982;Green;6;74.26;100;true;1733032467
18;Ernst & Young LLP;35072;Plum;7;34.97;100;true;1733059455
19;IFI CLAIMS Patent Services;51904;LavenderBlush;4;24.85;100;true;1733103896
20;How's My Offer?;44169;LightPink;6;28.32;100;true;1733132744
21;CityScan;93297;MidnightBlue;4;58.38;100;true;1733074357
22;Jurispect;66892;MediumSpringGreen;5;66.52;100;true;1733110850
23;OptumInsight;84619;DarkSeaGreen;8;35.02;100;true;1733056974
24;Bekins;88923;DarkRed;4;59.26;100;true;1733056857
25;Intermap Technologies;27188;DarkBlue;7;56.76;100;true;1733026623
26;R R Donnelley;38067;SlateBlue;7;21.09;100;true;1733074147
27;Charles River Associates;61135;Ivory;5;25.50;100;true;1733051977
28;Open Data Nation;79518;DarkViolet;7;56.16;100;true;1733075779
29;The Vanguard Group;44756;DarkSlateBlue;8;23.93;100;true;1733031677
30;ZocDoc;90228;Chocolate;5;49.90;100;true;1733057782
31;mHealthCoach;19497;LemonChiffon;5;29.23;100;true;1733124644
32;Civic Insight;21558;LightSteelBlue;8;59.85;100;true;1733089200
33;Junyo;42366;DarkSalmon;4;74.03;100;true;1732979355
34;Cerner;47252;Aqua;5;79.75;100;true;1733002172
35;Innovest Systems;74934;DarkMagenta;5;60.92;100;true;1733139572
36;Accenture;95682;Orange;4;20.51;100;true;1733045842
37;Department of Better Technology;51802;NavajoWhite;8;67.73;100;true;1733034720
38;WaterSmart Software;42165;LightBlue;7;56.57;100;true;1733005428
39;SAP;70814;DarkSalmon;5;24.32;100;true;1733088381
40;The Advisory Board Company;3460;Brown;4;44.42;100;true;1733083892
41;Bloomberg;9380;SpringGreen;8;63.18;100;true;1733076602
42;Innography;55135;MediumBlue;4;21.22;100;true;1733007754
43;Nationwide Mutual Insurance Company;96583;MistyRose;8;69.87;100;true;1732982844
44;Wheaton World Wide Moving;36748;ForestGreen;6;39.30;100;true;1733038677
45;Teradata;38964;PeachPuff;8;56.09;100;true;1732988484
46;Politify;43055;DarkSalmon;8;27.84;100;true;1733127038
47;Glassy Media;87742;Cyan;5;30.05;100;true;1732989020
48;Dun & Bradstreet;68645;HotPink;5;68.93;100;true;1733041644
49;TransUnion;82310;BurlyWood;7;37.90;100;true;1732987095
50;LexisNexis;33808;Brown;5;58.66;100;true;1732969613
51;Govzilla, Inc.;1343;LemonChiffon;6;77.55;100;true;1733101680
52;Standard and Poor's;29518;PeachPuff;5;47.07;100;true;1732987691
53;Equifax;9112;GoldenRod;8;33.32;100;true;1733024732
54;ProgrammableWeb;70060;Azure;8;61.92;100;true;1732976345
55;BuildZoom;56291;Lime;6;56.28;100;true;1733121685
56;Arrive Labs;75842;LimeGreen;5;21.31;100;true;1733130204
57;SAS;68527;FloralWhite;8;28.19;100;true;1733033501
58;Weather Decision Technologies;50677;PowderBlue;6;76.70;100;true;1733044531
59;Intermap Technologies;42254;MediumSpringGreen;6;23.35;100;true;1733077255
60;Bing;307;YellowGreen;4;25.01;100;true;1733020929
61;American Red Ball Movers;96153;DarkGray;4;66.28;100;true;1733048443
62;Golden Helix;87893;PapayaWhip;4;49.06;100;true;1733010359
63;SnapSense;98501;LightSeaGreen;8;77.18;100;true;1733016382
64;StreamLink Software;91315;LightGoldenRodYellow;6;53.64;100;true;1733131522
65;Everyday Health;56897;DarkBlue;7;73.68;100;true;1732979622
66;CareSet Systems;65500;DarkGreen;7;69.33;100;true;1732979560
67;Votizen;94465;FireBrick;7;47.94;100;true;1733104807
68;US Green Data;16884;BlueViolet;5;69.20;100;true;1733073810
69;Capital Cube;58608;LightGreen;8;39.50;100;true;1733121547
70;Maponics;58397;DarkOliveGreen;5;48.37;100;true;1733052715
71;Tendril;56029;Olive;5;47.40;100;true;1733136333
72;Tableau Software;3142;DimGrey;4;42.54;100;true;1733068814
73;Loqate, Inc.;27320;OldLace;5;48.08;100;true;1733127857
74;Mozio;22064;Maroon;5;54.06;100;true;1733107854
75;State Farm Insurance;8624;HoneyDew;4;71.64;100;true;1733121470
76;NerdWallet;87557;DarkSlateBlue;5;49.00;100;true;1733052806
77;Center for Responsive Politics;17426;Cornsilk;4;37.14;100;true;1733137641
78;Palantir Technologies;72836;SlateGray;4;58.58;100;true;1733079400
79;Parsons Brinckerhoff;74470;IndianRed ;8;44.46;100;true;1733134705
80;How's My Offer?;55119;DarkKhaki;7;24.93;100;true;1732989957
81;NuCivic;40703;LightSteelBlue;8;36.51;100;true;1733069357
82;iMedicare;69070;DodgerBlue;5;79.75;100;true;1733068067
83;Revaluate;54068;Red;4;65.90;100;true;1732979522
84;ProPublica;93196;Plum;8;31.61;100;true;1733026316
85;Patently-O;14846;LightCoral;5;68.97;100;true;1733048696
86;Clean Power Finance;90053;SlateBlue;4;78.04;100;true;1732970489
87;SnapSense;34789;OldLace;4;52.32;100;true;1733016330
88;The Govtech Fund;60039;Silver;5;58.74;100;true;1733077553
89;Standard and Poor's;44201;PaleGoldenRod;4;78.34;100;true;1733055746
90;Glassy Media;62398;Bisque;8;45.23;100;true;1733118965
91;Orlin Research;28402;Wheat;4;49.16;100;true;1733036778
92;WeMakeItSafer;54714;HotPink;5;28.63;100;true;1733114484
93;Fujitsu;78892;Blue;6;70.20;100;true;1733040410
94;Citigroup;72540;RosyBrown;8;24.83;100;true;1733137399
95;iRecycle;61357;DarkCyan;7;70.41;100;true;1733091478
96;iFactor Consulting;65909;LightSteelBlue;5;21.80;100;true;1733085937
97;Poncho App;40971;DarkViolet;7;61.24;100;true;1733024015
98;InnoCentive;72419;LavenderBlush;7;45.27;100;true;1733100239
99;Trintech;76091;PaleTurquoise;4;43.48;100;true;1733131393
100;OpenCounter;40373;DarkGray;8;33.44;100;true;1733110186
101;GuideStar;33107;MediumSpringGreen;8;45.50;100;true;1733041479
102;Energy Solutions Forum;7360;OldLace;7;27.35;100;true;1732976297
103;Municode;26403;FireBrick;7;20.21;100;true;1732990494
104;Loqate, Inc.;12723;SpringGreen;5;64.98;100;true;1733048480
105;Poncho App;15446;Tan;4;64.40;100;true;1733105614
106;Nautilytics;59412;DeepSkyBlue;8;26.41;100;true;1733035392
