item_id;supplier;category_id;color;size;price;stock_level
1;CAN Capital;49930;Salmon;6;52.33;
2;xDayta;82177;DimGray;7;39.82;
3;TrialX;98371;BlanchedAlmond;8;67.92;
4;Enigma.io;31118;LightCyan;4;49.50;
5;CAN Capital;52267;AntiqueWhite;8;60.17;
6;Forrester Research;80445;MediumSpringGreen;5;52.19;
7;Webitects;62782;Salmon;6;29.43;
8;Foursquare;97585;LightPink;6;24.10;
9;PlotWatt;90382;GoldenRod;6;55.98;
10;Farmers;32279;Bisque;4;65.36;
11;Docket Alarm, Inc.;66532;AntiqueWhite;6;32.11;
12;Amazon Web Services;77850;SeaShell;7;39.22;
13;Innovest Systems;4814;DarkGoldenRod;8;74.05;
14;Cappex;13812;LemonChiffon;4;40.27;
15;Marlin & Associates;22498;MediumTurquoise;4;42.88;
16;Factset;51513;LightSeaGreen;4;40.04;
17;Open Data Nation;58632;OldLace;7;58.43;
18;CoreLogic;82848;Snow;4;43.94;
19;gRadiant Research LLC;69036;Chocolate;8;74.47;
20;OpenPlans;72056;Magenta;4;52.35;
21;Energy Solutions Forum;45796;Linen;7;77.36;
22;Everyday Health;95846;DarkSeaGreen;6;61.41;
23;Nautilytics;32331;LightGreen;8;33.13;
24;EMC;69699;Tomato;4;63.54;
25;VitalChek;22826;LightSkyBlue;5;57.33;
26;Azavea;56763;MediumSpringGreen;7;73.36;
27;HDScores, Inc;90295;LightCyan;5;41.52;
28;Tableau Software;5923;SteelBlue;8;32.30;
29;IFI CLAIMS Patent Services;78460;Tomato;8;32.79;
30;Jurispect;22682;DarkViolet;4;28.79;
31;FlightAware;41750;DarkCyan;5;24.52;
32;LegiStorm;7207;PaleGoldenRod;4;25.20;
33;Earth Networks;70105;MediumBlue;5;35.18;
34;EMC;45210;MediumPurple;5;23.15;
35;Municode;56816;OliveDrab;4;53.79;
36;R R Donnelley;31530;DarkViolet;5;29.43;
37;Ranku;16515;Sienna;5;65.04;
38;WeMakeItSafer;52560;DarkGray;6;53.36;
39;SeeClickFix;33653;LightGreen;8;53.48;
40;Google Maps;30850;MidnightBlue;6;30.89;
41;Mango Transit;4149;LightCoral;7;75.90;
42;POPVOX;57230;MediumSeaGreen;8;34.59;
43;Morgan Stanley;79678;NavajoWhite;6;44.30;
44;Liquid Robotics;59737;BlanchedAlmond;5;31.95;
45;J.P. Morgan Chase;51448;Green;4;55.22;
46;BillGuard;95077;Coral;7;42.70;
47;Chubb;49384;MediumTurquoise;6;72.67;
48;GetRaised;27100;NavajoWhite;6;22.17;
49;3 Round Stones, Inc.;364;Chocolate;7;76.82;
50;Housefax;69359;Lime;6;59.44;
51;5PSolutions;69099;LightGray;6;78.71;
52;Nielsen;81279;Gainsboro;7;26.09;
53;US Green Data;18849;LightSlateGray;7;39.29;
54;Geolytics;59954;Khaki;4;42.63;
55;Bing;7572;Turquoise;5;68.87;
56;Verdafero;49132;Magenta;8;48.59;
57;PricewaterhouseCoopers (PWC);73032;Beige;7;47.86;
58;Altova;25256;PaleGreen;8;77.88;
59;Zurich Insurance (Risk Room);85527;MediumVioletRed;7;77.13;
60;ProPublica;8612;Cyan;7;79.04;
61;CitySourced;52180;Khaki;8;75.04;
62;InCadence;4604;CadetBlue;4;25.26;
63;InnoCentive;32237;Yellow;7;50.23;
64;RedLaser;22494;Fuchsia;8;25.64;
65;Synthicity;28406;LimeGreen;8;23.15;
66;Way Better Patents;4219;DarkViolet;8;38.26;
67;PlanetEcosystems;12599;LightPink;8;62.58;
68;YourMapper;15637;GoldenRod;7;31.09;
69;Roadify Transit;47143;SandyBrown;6;75.37;
70;VitalChek;89909;SeaShell;8;21.77;
71;Propeller Health;11483;MediumSpringGreen;7;24.06;
72;LexisNexis;79780;NavajoWhite;6;43.28;
73;Credit Sesame;97864;HotPink;8;58.02;
74;Business Monitor International;70928;RoyalBlue;5;25.61;
75;GetRaised;11477;Peru;6;70.65;
76;FutureAdvisor;2234;Gray;5;77.85;
77;New Media Parents;69529;Red;6;35.06;
78;realtor.com;25430;FloralWhite;8;25.30;
79;Lumesis, Inc.;38869;OldLace;6;43.89;
80;Persint;21647;LightGray;6;63.70;
81;Stevens Worldwide Van Lines;47296;Chartreuse;5;72.46;
82;Collective IP;83149;MidnightBlue;5;23.32;
83;Quid;7642;White;7;63.93;
84;LOVELAND Technologies;58718;Azure;4;72.65;
85;Sage Bionetworks;65961;LightPink;5;60.68;
86;Citigroup;71987;DarkSeaGreen;5;23.13;
87;GitHub;49906;NavajoWhite;5;65.58;
88;Calcbench, Inc.;90414;OldLace;8;77.02;
89;Cerner;64619;MistyRose;6;60.22;
90;DataLogix;26375;SlateGray;8;43.52;
91;Nationwide Mutual Insurance Company;37929;DarkBlue;8;77.59;
92;Gallup;87221;PaleGreen;5;39.13;
93;Intermap Technologies;73771;DodgerBlue;6;38.58;
94;Golden Helix;91947;Ivory;8;48.38;
95;iRecycle;93865;Crimson;5;46.91;
96;Marlin Alter and Associates;51685;Crimson;7;68.36;
97;Next Step Living;33502;NavajoWhite;7;52.62;
98;Sterling Infosystems;29777;LightCyan;5;42.24;
99;BaleFire Global;54445;DarkCyan;4;58.01;
100;Rivet Software;22028;Aqua;6;21.32;
101;3 Round Stones, Inc.;20478;SaddleBrown;6;39.26;
102;Business and Legal Resources;98818;Brown;4;48.29;
103;Acxiom;4476;Gainsboro;5;56.15;
104;Moody's;70540;Maroon;7;30.54;
105;Oversight Systems;46167;Red;4;33.31;
106;OpenCounter;64610;AntiqueWhite;8;47.78;
107;MarketSense;68905;ForestGreen;5;31.42;
108;Clean Power Finance;16961;MediumSlateBlue;5;52.12;
109;Berkery Noyes MandASoft;85818;Green;8;59.43;
110;American Red Ball Movers;57807;Crimson;5;23.45;
111;GovTribe;66943;Teal;4;54.88;
112;SAS;65661;MistyRose;4;71.45;
113;Credit Karma;79698;PeachPuff;7;35.30;
114;Granicus;82418;Fuchsia;8;75.52;
115;McGraw Hill Financial;6211;BlanchedAlmond;6;70.57;
116;HealthPocket, Inc.;90342;ForestGreen;7;59.02;
117;The Govtech Fund;59231;DarkCyan;7;73.14;
118;Barchart;70383;MediumVioletRed;6;67.07;
119;BlackRock;36768;HotPink;6;58.39;
120;Sophic Systems Alliance;49650;DeepSkyBlue;7;67.99;
121;OTC Markets;17281;PowderBlue;7;59.75;
122;Evidera;92880;MediumSpringGreen;8;72.26;
123;SAP;26758;HoneyDew;4;33.19;
124;Zurich Insurance (Risk Room);4113;IndianRed ;4;22.60;
125;Mozio;98169;Beige;6;78.99;
126;First Fuel Software;83493;Beige;4;40.65;
127;TagniFi;18996;Tan;5;42.12;
128;Fidelity Investments;44051;MintCream;7;37.19;
129;Noesis;8365;DarkSeaGreen;4;56.38;
130;AreaVibes Inc.;72031;Pink;6;32.49;
131;Buildingeye;86967;White;5;37.96;
132;optiGov;92571;LightSalmon;5;20.09;
133;HealthPocket, Inc.;63302;Navy;4;24.00;
134;Knowledge Agency;18389;Red;8;46.04;
135;Fujitsu;21256;DarkGreen;8;27.39;
136;PeerJ;64161;Maroon;4;40.32;
137;Civis Analytics;58169;SlateBlue;5;32.10;
138;Healthgrades;66483;MediumSlateBlue;5;66.28;
139;NextBus;29171;HotPink;6;29.42;
140;ASC Partners;65367;DarkKhaki;7;55.35;
141;LoopNet;76915;PapayaWhip;7;61.69;
142;CliniCast;2194;Red;4;54.12;
143;Overture Technologies;80157;LightYellow;5;70.58;
144;Ecodesk;9354;Peru;8;61.17;
145;WebMD;49288;YellowGreen;5;54.32;
146;Accela;24785;Lavender;5;63.68;
147;Cloudmade;60478;LawnGreen;6;72.99;
148;Weather Underground;23690;WhiteSmoke;7;38.78;
149;LegiStorm;74282;MediumSeaGreen;7;56.02;
150;AccuWeather;86732;HoneyDew;7;26.19;
151;Mozio;88271;Crimson;6;77.17;
152;CareSet Systems;73924;Salmon;6;44.23;
153;Lenddo;86482;MidnightBlue;8;34.90;
154;Apextech LLC;55625;Beige;6;31.38;
155;Captricity;50971;Linen;5;56.78;
156;Zurich Insurance (Risk Room);83626;LightSteelBlue;4;49.90;
157;EarthObserver App;80910;Silver;7;51.25;
158;Municode;59548;SaddleBrown;6;27.62;
159;Teradata;12965;MediumSeaGreen;5;51.89;
160;NerdWallet;10001;Silver;5;57.29;
161;AllState Insurance Group;33496;Chartreuse;5;25.57;
162;Amida Technology Solutions;90348;PaleGreen;7;60.28;
163;Enigma.io;63819;Thistle;7;65.95;
164;Government Transaction Services;34869;DimGrey;4;59.75;
165;CB Insights;74573;CadetBlue;4;36.34;
166;Investormill;25296;FloralWhite;6;24.75;
167;Wolters Kluwer;89113;AntiqueWhite;7;43.43;
168;CoolClimate;65112;OrangeRed;5;38.39;
169;LoopNet;30314;LightYellow;6;65.87;
170;Canon;95470;Aqua;4;30.73;
171;H3 Biomedicine;39244;PeachPuff;7;54.85;
172;Credit Sesame;64288;HoneyDew;6;23.06;
173;SnapSense;71748;Plum;8;22.49;
174;Cappex;15279;DarkOliveGreen;7;40.80;
175;Smartronix;293;Ivory;7;79.82;
176;CityScan;16106;Peru;7;44.91;
177;FlightView;16511;DarkMagenta;6;67.60;
178;J.P. Morgan Chase;20270;DarkGoldenRod;6;48.19;
179;AllState Insurance Group;44196;FloralWhite;8;41.15;
180;Fitch;77014;PaleGoldenRod;7;51.91;
181;Geofeedia;22887;Wheat;7;22.86;
182;Vitals;16621;MediumVioletRed;6;64.54;
183;Deloitte;11655;DarkGoldenRod;4;72.45;
184;Business and Legal Resources;84899;LightSlateGray;5;73.56;
185;Center for Responsive Politics;99693;LightSalmon;5;23.64;
186;karmadata;29895;Black;4;77.37;
187;Fidelity Investments;80276;DarkSalmon;4;36.37;
188;Fujitsu;57822;BlanchedAlmond;8;57.37;
189;SnapSense;8937;Plum;6;59.71;
190;Stamen Design;41922;PeachPuff;6;73.44;
191;Zonability;23400;MediumOrchid;6;64.53;
192;SimpleTuition;32448;DarkSlateBlue;7;57.66;
193;Allianz;45603;Gainsboro;7;75.92;
194;Loqate, Inc.;8555;Cyan;5;20.37;
195;Parsons Brinckerhoff;49413;Chocolate;8;33.72;
196;Fastcase;54192;Gainsboro;5;72.55;
197;Climate Corporation;64694;SeaGreen;8;62.62;
198;Nationwide Mutual Insurance Company;11141;PaleGreen;5;29.02;
199;Civic Insight;26788;LightGray;7;77.73;
200;Telenav;64788;MediumSpringGreen;4;77.78;
201;PYA Analytics;57899;Moccasin;8;54.69;
202;Fitch;80138;DeepSkyBlue;5;38.69;
203;Lumesis, Inc.;38165;Turquoise;6;28.94;
