item_id;supplier;category_id;color;size;price;stock_level
1;Wolters Kluwer;63739;NavajoWhite;7;53.17;
2;Honest Buildings;23441;SeaGreen;6;34.54;
3;Brightscope;96543;MediumAquaMarine;4;28.84;
4;Granicus;21617;Teal;4;42.99;
5;Way Better Patents;15261;Snow;6;79.08;
6;Walk Score;89057;Chocolate;5;73.69;
7;Wolters Kluwer;36666;LightSeaGreen;8;45.34;
8;Bing;31900;LemonChiffon;7;31.41;
9;Geofeedia;76782;FloralWhite;7;32.17;
10;Social Explorer;12328;DarkCyan;8;28.86;
11;Credit Sesame;53310;Salmon;4;34.90;
12;PatientsLikeMe;73528;Wheat;5;46.74;
13;Solar Census;33068;MediumSeaGreen;8;42.33;
14;Noesis;24235;Salmon;8;41.00;
15;Solar Census;20614;ForestGreen;6;42.86;
16;Standard and Poor's;42759;Sienna;6;51.56;
17;Experian;86747;Thistle;7;51.56;
18;LoseIt.com;40250;GoldenRod;5;51.53;
19;Datamyne;95631;DarkGreen;7;47.48;
20;Trulia;5297;PaleGreen;6;44.93;
21;Fidelity Investments;74170;Aqua;4;43.61;
22;IVES Group Inc;64155;Olive;7;23.15;
23;Cerner;10073;LightGoldenRodYellow;4;52.49;
24;RedLaser;5279;DarkCyan;6;34.99;
25;Bing;78741;Aquamarine;4;56.37;
26;3 Round Stones, Inc.;85513;Green;8;77.91;
27;Lawdragon;83859;Moccasin;6;74.67;
28;Inovalon;74127;Magenta;8;63.51;
29;The DocGraph Journal;64848;DarkSlateGray;4;54.23;
30;ReciPal;7189;Crimson;7;64.71;
31;Way Better Patents;29159;Chartreuse;8;75.62;
32;SmartProcure;35142;LightCyan;6;33.73;
33;H3 Biomedicine;24199;RoyalBlue;7;36.43;
34;StreamLink Software;33092;CadetBlue;8;54.16;
35;KidAdmit, Inc.;52729;Thistle;8;48.65;
36;SmartProcure;67781;Darkorange;6;78.65;
37;CGI;66130;Plum;7;71.44;
38;Persint;49667;Olive;8;71.46;
39;Kroll Bond Ratings Agency;64813;MediumTurquoise;8;26.77;
40;IBM;48054;MediumTurquoise;5;70.56;
41;Xatori;27115;Olive;7;67.94;
42;Municode;86912;Crimson;5;28.61;
43;Ernst & Young LLP;51967;Bisque;7;63.58;
44;TopCoder;69796;DeepPink;8;52.07;
45;TrialTrove;40152;Gray;4;60.31;
46;Esri;17592;GhostWhite;8;79.13;
47;Jurispect;53775;GreenYellow;5;53.13;
48;NonprofitMetrics;45182;Navy;4;28.02;
49;U.S. News Schools;71215;Cornsilk;8;35.71;
50;Embark;56754;SlateGray;6;65.77;
51;Vital Axiom | Niinja;98767;HotPink;7;70.36;
52;Civic Impulse LLC;40345;RosyBrown;8;47.01;
53;Compliance and Risks;88778;HoneyDew;8;77.50;
54;optiGov;75990;MediumBlue;7;42.48;
55;FlightView;52763;CornflowerBlue;4;64.00;
56;Legal Science Partners;5427;Snow;6;37.59;
57;Politify;66696;OrangeRed;4;78.51;
58;Adaptive;67303;MediumSpringGreen;8;31.85;
59;Maponics;99465;Ivory;7;27.58;
60;eScholar LLC.;19643;DimGrey;4;74.03;
61;Golden Helix;13117;Thistle;5;70.50;
62;Golden Helix;93871;SaddleBrown;8;59.55;
63;Alltuition;62604;Violet;8;43.96;
64;Granicus;81955;PaleGoldenRod;4;31.73;
65;Healthline;70623;LightSlateGray;5;67.88;
66;PayScale, Inc.;99553;Chartreuse;7;49.01;
67;NuCivic;94974;AntiqueWhite;7;64.70;
68;OpenPlans;28439;DarkBlue;6;64.71;
69;Department of Better Technology;52052;Aqua;8;47.69;
70;LexisNexis;45953;LightSkyBlue;6;62.28;
71;Arpin Van Lines;2696;FloralWhite;7;21.24;
72;SAS;29552;PaleGreen;5;62.96;
73;How's My Offer?;11126;MediumSeaGreen;7;65.87;
74;Evidera;75482;Magenta;5;21.25;
75;FlightView;78750;PeachPuff;5;67.91;
76;Ensco;84722;DarkKhaki;4;29.77;
77;Propeller Health;5325;SlateBlue;8;20.38;
78;TransUnion;1136;Purple;5;74.69;
79;Xignite;40791;SeaGreen;4;64.01;
80;EarthObserver App;785;Silver;7;43.06;
81;Moody's;90157;OrangeRed;7;55.34;
82;Redfin;34989;DarkGray;6;57.46;
83;Revelstone;45793;Bisque;7;22.24;
84;Lumesis, Inc.;26876;Olive;6;44.61;
85;NonprofitMetrics;98754;DarkOliveGreen;8;29.92;
86;Owler;33801;LightGreen;8;64.77;
87;MuckRock.com;32700;Brown;8;56.41;
88;Collective IP;64168;Lime;7;61.53;
89;Uber;32610;BlueViolet;6;59.99;
90;Sage Bionetworks;84047;Violet;4;40.33;
91;Aureus Sciences (*Now part of Elsevier);77153;SkyBlue;7;34.10;
92;GoodGuide;14687;Green;5;36.37;
93;Lending Club;74664;ForestGreen;6;69.65;
94;SeeClickFix;34486;LightSkyBlue;8;21.55;
95;OpenPlans;94312;OrangeRed;6;45.55;
96;ProgrammableWeb;63333;White;8;29.70;
97;Allied Van Lines;97752;Azure;8;40.24;
98;PlaceILive.com;55731;HotPink;8;74.70;
99;CoreLogic;9310;Red;8;74.96;
100;SpotHero.com;26360;PaleVioletRed;6;41.99;
101;Child Care Desk;21931;PapayaWhip;5;69.84;
102;Appallicious;76740;DeepPink;8;73.40;
103;Enervee Corporation;55086;DarkKhaki;6;55.87;
104;LegiStorm;16738;CadetBlue;4;35.30;
105;Mozio;34672;LightSlateGray;8;22.48;
106;PricewaterhouseCoopers (PWC);69328;RoyalBlue;5;68.36;
107;Mint;80177;GreenYellow;7;52.62;
108;Allianz;5571;BlueViolet;6;31.70;
109;PricewaterhouseCoopers (PWC);6553;LightBlue;4;21.58;
110;Smartronix;95274;DarkSlateGray;7;54.93;
111;Harris Corporation;22836;Lavender;7;37.29;
112;Scale Unlimited;69069;PowderBlue;5;74.75;
113;TagniFi;70776;LightPink;8;78.28;
114;Child Care Desk;36737;GhostWhite;8;69.10;
115;Govini;43773;HoneyDew;4;77.96;
116;Appallicious;84061;MediumSlateBlue;7;66.45;
117;Robinson + Yu;7190;DarkOrchid;7;43.35;
118;Berkshire Hathaway;85651;MediumSeaGreen;4;39.75;
119;SolarList;21887;Olive;7;72.37;
120;WattzOn;42022;CornflowerBlue;6;61.10;
121;S&P Capital IQ;52578;DarkOliveGreen;5;31.97;
122;Import.io;46314;DarkOliveGreen;7;27.43;
123;(Leg)Cyte;14345;NavajoWhite;7;28.03;
124;Computer Packages Inc;53689;Azure;7;62.89;
125;Unigo LLC;52796;MediumSpringGreen;6;29.35;
126;BuildZoom;94086;Orchid;5;55.21;
127;ZocDoc;36874;BurlyWood;4;73.90;
128;LOVELAND Technologies;87202;RoyalBlue;5;67.52;
129;Fidelity Investments;21745;MediumPurple;6;59.24;
130;Expert Health Data Programming, Inc.;21895;White;4;79.68;
131;Charles River Associates;74214;OrangeRed;4;65.47;
132;Collective IP;39098;PaleVioletRed;6;60.05;
133;Center for Responsive Politics;39417;Coral;4;23.27;
134;Equal Pay for Women;95204;RosyBrown;7;63.67;
135;Jurispect;59209;OliveDrab;8;70.52;
136;EMC;56479;SaddleBrown;8;45.98;
137;Compendia Bioscience Life Technologies;90903;Orange;7;34.77;
138;Munetrix;41401;DarkSeaGreen;6;34.67;
139;Uber;91311;CornflowerBlue;7;37.11;
140;Ranku;35013;LightGoldenRodYellow;4;26.49;
141;Center for Responsive Politics;8417;MediumAquaMarine;6;46.86;
142;Child Care Desk;7911;CornflowerBlue;4;79.79;
143;TopCoder;96847;SandyBrown;6;64.02;
144;CrowdANALYTIX;98981;Chocolate;5;22.42;
145;Social Health Insights;17101;PaleVioletRed;5;57.05;
146;Castle Biosciences;8433;Aqua;6;55.10;
147;First Fuel Software;90016;PowderBlue;7;21.12;
148;Predilytics;50635;Salmon;7;58.79;
149;StreetCred Software, Inc;8559;DarkOliveGreen;4;22.43;
150;New Media Parents;30665;PaleGoldenRod;4;60.15;
151;WaterSmart Software;86622;Khaki;4;26.07;
152;OpenCounter;2392;Snow;8;50.11;
153;STILLWATER SUPERCOMPUTING INC;4333;LightYellow;6;22.14;
154;Healthgrades;52078;SlateBlue;8;70.79;
155;Amazon Web Services;90353;Thistle;5;45.53;
156;Relationship Science;35004;Lavender;4;74.34;
157;PublicEngines;81896;AntiqueWhite;8;36.47;
158;GovTribe;58724;LawnGreen;5;45.99;
159;Bridgewater;40524;DarkViolet;5;46.82;
160;IBM;57850;FireBrick;5;30.80;
161;Ensco;12859;HoneyDew;6;22.84;
162;CitySourced;75000;Teal;7;23.20;
163;Iodine;89577;PaleTurquoise;8;56.41;
