registered;cookie;browser;country;timestamp;zip
1;13c27187-6fb0-4358-be31-d3a9d0f2b98f;"Mozilla/5.0 (X11; Linux x86_64; rv:5.0) Gecko/1930-12-05 Firefox/36.0";IE;1740354500;50493
2;84c393d5-ef27-46b7-a0f7-72b377c23419;"Opera/9.63 (X11; Linux x86_64; en-US) Presto/2.11.181 Version/11.00";SH;1740376791;22170
3;f4c9ee88-cea5-48c2-a493-cd80596b8936;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5311 (KHTML, like Gecko) Chrome/38.0.808.0 Mobile Safari/5311";PG;1740469640;57788
4;c0ba3b80-5f4f-47c6-83a7-402cfc7a564e;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/5310 (KHTML, like Gecko) Chrome/39.0.828.0 Mobile Safari/5310;ID;1740462196;87493
5;21fedf0b-bda4-4e1e-bda2-0688eefaaf22;"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/536.19.1 (KHTML, like Gecko) Version/4.2 Safari/536.19.1";KM;1740454655;22898
6;a4916781-6d97-4811-8789-c9025601d5cb;"Opera/8.40 (X11; Linux i686; en-US) Presto/2.12.297 Version/10.00";IE;1740383311;34137
7;169d2f1a-7b4d-4a43-954f-7adf9d42f52f;Mozilla/5.0 (Windows 95) AppleWebKit/5340 (KHTML, like Gecko) Chrome/37.0.871.0 Mobile Safari/5340;MM;1740313587;90429
8;8fdda515-e914-42ea-8c08-f9e9a0802b52;"Opera/8.40 (Macintosh; U; PPC Mac OS X 10_7_6; en-US) Presto/2.12.200 Version/13.00";GH;1740302224;45831
9;7ede9011-1fc7-4db7-8b36-00572688f0c0;"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_10) AppleWebKit/5362 (KHTML, like Gecko) Chrome/39.0.811.0 Mobile Safari/5362";AL;1740450751;37833
10;5f9b4472-32e7-4ec0-9520-51e82474f788;"Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.3.20) Gecko/1951-08-02 Firefox/37.0";KR;1740395092;66797
11;640d0d81-a7ad-4966-9cea-a50e3aa8f825;"Mozilla/5.0 (X11; Linux x86_64; rv:7.0) Gecko/1954-28-09 Firefox/37.0";UA;1740380018;26751
12;7fa2777e-9a09-4dd0-923b-d1a83e6b0e14;"Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/1923-19-03 Firefox/35.0";KN;1740463902;85237
13;60aa158d-4cb7-4bc3-85cb-b9ee36474bcf;"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_9 rv:3.0) Gecko/2022-28-09 Firefox/35.0";RO;1740462670;20021
14;b0bd505d-09f0-4e78-90bb-dd979519bd48;"Opera/9.19 (X11; Linux x86_64; en-US) Presto/2.10.268 Version/10.00";PM;1740334765;72234
15;c08d894f-df74-488b-a88b-e5c4de5971cb;"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_2 like Mac OS X; en-US) AppleWebKit/535.41.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.41.2";MY;1740371959;15498
16;2e684c7c-156e-4489-b6d6-d5a968ab0d2c;"Opera/9.22 (X11; Linux x86_64; en-US) Presto/2.9.269 Version/13.00";UY;1740456714;83597
17;ab37299d-4209-4b7c-8db0-7928a5d1c120;Mozilla/5.0 (Windows NT 5.01) AppleWebKit/5352 (KHTML, like Gecko) Chrome/39.0.852.0 Mobile Safari/5352;LV;1740448500;17577
18;f2ebbbd5-8117-40bb-ac2a-e83fc12b5771;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_7 rv:5.0; en-US) AppleWebKit/531.50.2 (KHTML, like Gecko) Version/6.2 Safari/531.50.2";LC;1740387068;89727
19;fbc5077e-4a3b-40e2-8b13-16f00d36ef88;"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_8 rv:2.0) Gecko/1935-30-01 Firefox/37.0";PN;1740395146;49288
20;7a7b766a-c4fb-4fc8-96df-5879a0d8b035;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8 rv:5.0) Gecko/1964-02-08 Firefox/36.0";SY;1740440350;74475
