registered;cookie;browser;country;timestamp;zip
1;c183b478-8fba-4d68-8997-e22f63ec1a0a;"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X; en-US) AppleWebKit/536.46.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6536.46.7";AM;1740513654;31181
2;0f6ff88b-4395-4778-b1ca-8a5ce676b3ef;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_5) AppleWebKit/5321 (KHTML, like Gecko) Chrome/36.0.835.0 Mobile Safari/5321";BV;1740538559;80244
3;85cb0aae-131d-4203-aa57-059523256f6a;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_9) AppleWebKit/5310 (KHTML, like Gecko) Chrome/36.0.872.0 Mobile Safari/5310";JM;1740520044;50209
4;a83e0da1-7bef-461c-bffc-b2608906b70e;"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_10) AppleWebKit/5332 (KHTML, like Gecko) Chrome/36.0.881.0 Mobile Safari/5332";NL;1740521227;72427
5;ef2ed6e9-ecfd-42f2-8753-f83646d87dcb;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5322 (KHTML, like Gecko) Chrome/39.0.895.0 Mobile Safari/5322";MP;1740655266;97505
6;d1d2b3be-7764-486f-9437-12a5e6c13317;"Opera/8.61 (X11; Linux i686; en-US) Presto/2.11.277 Version/10.00";FI;1740602345;44978
7;3f32c7eb-d79b-4daa-9e71-02d149b4e554;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2 rv:4.0) Gecko/1992-04-12 Firefox/36.0";MT;1740515023;99394
8;d33ab6d3-4328-49b1-bed7-03937489787a;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0 rv:5.0; en-US) AppleWebKit/533.29.2 (KHTML, like Gecko) Version/6.1 Safari/533.29.2";EG;1740569911;86574
9;36631854-f3a6-4b46-b7f3-47591dca5a82;Mozilla/5.0 (Windows 98) AppleWebKit/5341 (KHTML, like Gecko) Chrome/39.0.870.0 Mobile Safari/5341;MR;1740520983;85947
10;d84d7cfb-fb03-427b-99cb-6556fc9af8c0;"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7) AppleWebKit/5341 (KHTML, like Gecko) Chrome/36.0.834.0 Mobile Safari/5341";TZ;1740517717;72453
11;12bf53fe-456d-42cd-a28f-1999adcbb77c;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5361 (KHTML, like Gecko) Chrome/36.0.869.0 Mobile Safari/5361";KE;1740637617;24320
12;6a840950-b51f-4deb-afe3-3110715ae173;"Opera/9.17 (Windows NT 5.1; en-US) Presto/2.11.231 Version/13.00";SL;1740607394;84302
13;6aa818d3-d98f-4705-93fb-35a7b32d6cff;Mozilla/5.0 (Windows CE) AppleWebKit/5360 (KHTML, like Gecko) Chrome/36.0.832.0 Mobile Safari/5360;PF;1740513648;41988
14;bce5c265-38ef-4834-aa8c-9d9d18468d4e;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_9 rv:3.0) Gecko/1912-11-11 Firefox/37.0";SI;1740533049;57826
15;7b24628a-acd1-4494-ae22-ce5ef75542e4;"Opera/8.22 (X11; Linux x86_64; en-US) Presto/2.10.344 Version/11.00";SL;1740506905;91463
16;fec9cd95-f086-476e-8f59-ccf53d027b9f;"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5340 (KHTML, like Gecko) Chrome/40.0.864.0 Mobile Safari/5340";NE;1740653149;95235
17;4aa04192-4432-4dbc-ac0f-3615c876820b;"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5312 (KHTML, like Gecko) Chrome/39.0.856.0 Mobile Safari/5312";SI;1740552629;30110
18;3794589b-90c5-4c4e-abef-a50f08b03559;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4 rv:6.0; en-US) AppleWebKit/534.4.5 (KHTML, like Gecko) Version/6.1 Safari/534.4.5";GH;1740521015;98750
19;987827d4-5453-4fee-9eff-eaffb4a81bb0;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5342 (KHTML, like Gecko) Chrome/40.0.823.0 Mobile Safari/5342";BZ;1740518917;70812
20;a9febbb2-4ed6-4458-8548-2f335e1b91dd;"Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.3.20) Gecko/1949-25-01 Firefox/37.0";SV;1740638518;60586
