registered;cookie;browser;country;timestamp;zip
1;f2cb1a95-cfc3-4a33-9d18-740ebe742a0f;"Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/1926-09-06 Firefox/35.0";PR;1734016613;43508
2;aad434fd-8430-4131-916c-2234683f318c;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_2 rv:4.0; en-US) AppleWebKit/533.51.4 (KHTML, like Gecko) Version/4.0 Safari/533.51.4";RO;1734089915;81612
3;a194ab04-68de-40a7-81ea-fde1dc010964;Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5352 (KHTML, like Gecko) Chrome/40.0.875.0 Mobile Safari/5352;CR;1733987702;76906
4;4d5dea40-e2b1-4ba4-a271-e4128b08f475;"Opera/10.19 (X11; Linux x86_64; en-US) Presto/2.9.321 Version/13.00";SL;1734082420;11125
5;d72b4ab8-41fd-43fd-bdeb-6e1357e5ff54;Mozilla/5.0 (Windows 95) AppleWebKit/5341 (KHTML, like Gecko) Chrome/36.0.817.0 Mobile Safari/5341;VU;1734091139;23179
6;f6e24f0d-7b32-4ad8-abbc-87f8d3e28927;"Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.0.20) Gecko/1908-10-12 Firefox/37.0";SE;1733932662;64754
7;0423a9bb-2f46-4ad9-866b-d7c9ad700ca0;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_1) AppleWebKit/5352 (KHTML, like Gecko) Chrome/37.0.832.0 Mobile Safari/5352";TJ;1733973134;87874
8;f00c7e63-f3c6-4a38-a77c-58854c1e953b;"Opera/10.70 (X11; Linux x86_64; en-US) Presto/2.8.226 Version/13.00";MV;1733940939;28639
9;3249a6b0-e6f6-4cd4-aa43-d91cbdd33a10;"Opera/9.27 (X11; Linux x86_64; en-US) Presto/2.12.255 Version/12.00";NZ;1734003962;52334
10;44fa4aef-c339-4be0-8beb-0d32c4f86557;"Opera/8.52 (Windows NT 6.0; en-US) Presto/2.10.330 Version/11.00";PN;1733990020;91184
11;e4bf57c9-cbea-43a0-a483-a2d9eb7b20d8;"Opera/8.43 (Macintosh; PPC Mac OS X 10_6_10; en-US) Presto/2.9.305 Version/12.00";VA;1734038539;94135
12;c24b1ef4-96e6-435c-a776-f6440ad764dc;"Mozilla/5.0 (X11; Linux x86_64; rv:8.0) Gecko/1911-28-01 Firefox/36.0";CU;1733978221;20406
13;fc352019-6214-40be-9758-5be3b73fafb7;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_3 rv:3.0) Gecko/2022-01-03 Firefox/36.0";KN;1734082934;19677
14;fdd9bb07-cbd0-4660-b477-cfe978c5ace2;"Mozilla/5.0 (Windows 98; en-US; rv:1.9.3.20) Gecko/1948-27-01 Firefox/35.0";YU;1733977688;34996
15;4297fc92-fd23-4309-b456-4b41d25ce1eb;"Mozilla/5.0 (Windows NT 5.1; en-US; rv:1.9.3.20) Gecko/1981-26-06 Firefox/35.0";CK;1734013868;74509
16;55d60bd3-f0ec-48c9-adf7-8e65f0c04a02;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_2 rv:4.0; en-US) AppleWebKit/531.17.5 (KHTML, like Gecko) Version/6.2 Safari/531.17.5";SA;1734019539;82996
17;c9b756dc-4c05-4759-81ed-1c4059cd8196;"Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/1911-24-10 Firefox/36.0";GH;1733976391;88701
18;4efd7014-61d2-4d00-a7ad-ba7a5c0ae9b3;"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/531.21.8 (KHTML, like Gecko) Version/5.0 Safari/531.21.8";CI;1733943175;31618
19;1d74165b-20a1-4d57-ad31-af28ee2d5396;"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3) AppleWebKit/5350 (KHTML, like Gecko) Chrome/39.0.801.0 Mobile Safari/5350";EE;1733931958;41090
20;b0588810-4606-4a61-ab52-ebcd81f7ee54;"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_3) AppleWebKit/5351 (KHTML, like Gecko) Chrome/36.0.803.0 Mobile Safari/5351";UG;1734012281;47226
21;045fa6a3-d386-4a69-b736-345ccf3e0cd1;"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_2 rv:6.0; en-US) AppleWebKit/535.38.7 (KHTML, like Gecko) Version/6.1 Safari/535.38.7";CK;1734022881;36136
22;dfcd85c6-b83b-401a-a110-fe868efa9d58;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5362 (KHTML, like Gecko) Chrome/39.0.875.0 Mobile Safari/5362";BZ;1733924749;45294
23;d9af0378-4058-4149-b135-9e1a67cb154c;"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.50.2 (KHTML, like Gecko) Version/4.0 Safari/533.50.2";TD;1733987858;52716
